datetime,team.name,period,player.name,pass.recipient.name,pass.length
2023-08-13 00:10:52.879,Le Havre,2,Rassoul N'Diaye,Loïc Négo,29.443504
2023-08-13 00:10:54.774,Montpellier,1,Falaye Sacko,Boubakar Kouyate,17.613914
2023-08-13 00:10:57.297,Montpellier,1,Boubakar Kouyate,Christopher Jullien,14.516887
2023-08-13 00:10:58.750,Montpellier,1,Christopher Jullien,Issiaga Sylla,32.423756
2023-08-13 00:11:03.134,Montpellier,1,Issiaga Sylla,Jordan Ferri,14.650939
2023-08-13 00:11:04.806,Montpellier,1,Jordan Ferri,Téji Savanier,6.71193
2023-08-13 00:11:10.867,Montpellier,1,Téji Savanier,Christopher Jullien,26.072592
2023-08-13 00:11:26.420,Montpellier,2,Benjamin Lecomte,Téji Savanier,42.379475
2023-08-13 00:11:30.583,Montpellier,2,Téji Savanier,Boubakar Kouyate,12.252755
2023-08-13 00:11:33.828,Montpellier,2,Boubakar Kouyate,Christopher Jullien,22.968891
2023-08-13 00:11:36.222,Montpellier,2,Christopher Jullien,Falaye Sacko,23.753105
2023-08-13 00:11:41.564,Montpellier,2,Falaye Sacko,Jordan Ferri,6.0
2023-08-13 00:11:44.031,Montpellier,2,Jordan Ferri,Téji Savanier,9.1836815
2023-08-13 00:11:45.071,Montpellier,2,Téji Savanier,Jordan Ferri,9.48736
2023-08-13 00:11:46.199,Montpellier,2,Jordan Ferri,Christopher Jullien,10.5019045
2023-08-13 00:11:47.799,Montpellier,2,Christopher Jullien,Boubakar Kouyate,38.508312
2023-08-13 00:11:51.210,Montpellier,2,Boubakar Kouyate,Joris Chotard,18.701872
2023-08-13 00:11:53.617,Montpellier,2,Joris Chotard,Boubakar Kouyate,10.667708
2023-08-13 00:11:55.746,Montpellier,2,Boubakar Kouyate,Akor Jerome Adams,25.316002
2023-08-13 00:11:58.249,Montpellier,2,Akor Jerome Adams,Issiaga Sylla,15.786703
2023-08-13 00:12:00.485,Montpellier,2,Issiaga Sylla,Wahbi Khazri,28.917124
2023-08-13 00:12:31.195,Montpellier,1,Christopher Jullien,Jordan Ferri,17.551353
2023-08-13 00:12:36.514,Montpellier,1,Jordan Ferri,Joris Chotard,17.083618
2023-08-13 00:12:38.400,Montpellier,2,Boubakar Kouyate,Téji Savanier,19.79596
2023-08-13 00:12:39.812,Montpellier,1,Joris Chotard,Boubakar Kouyate,19.869827
